募集状況,主催,イベント名,募集開始,締め切り,タグ,リンク,対象者,作成日時,最終更新日時,内容 / 必要な経験 (簡潔に!),場所,実施時期 / 待遇,技術スタック,選考フロー
募集中,株式会社Entale,エンジニアインターン - ペアケア,2024/05/07,,インターン,https://herp.careers/v1/entale/hlfSOVrMI_Pl,,2024年6月29日 11:07,2024年6月29日 11:07,"■ 内容
「https://paircare.jp/」において急成長を実現するべく、エンジニアのインターンシップを募集しています。スモールチームなので裁量を持ったプロダクト開発が可能です。

📱 モバイルエンジニア
・ReactNative、Expoを用いたモバイルアプリケーションの開発。

👨‍💻 バックエンドエンジニア
・Goを用いたアプリケーションサーバーの開発。GoogleCloudPlatformを活用したインフラ設計も担当していただきます。

👩‍💻 フロントエンドエンジニア
・VueまたはReactを用いたウェブアプリケーションの開発。","リモート可, 対面出社可, 東京, 青山","■インターン応募・実施期間
通年で募集中

■報酬
時給：1,500円程度
","Android, GCP, Go, React, ReactNative, Vue.js, Webバックエンド, Webフロントエンド, Web全般, iOS, インフラ, モバイル全般","書類選考 → オンライン面接2回
※ オンライン面接後にコーディングのテストを受けていただきます。"
募集中,株式会社AppBrew,"【AppBrew】(時給3,000円〜)長期インターン／ソフトウェアエンジニア",2024/04/26,2024/08/31,インターン,https://herp.careers/v1/appbrew/_APJvQDTSwLc,"25卒, 26卒, 27卒, 全学年",2024年6月29日 11:07,2024年6月29日 11:07,"◆概要
AppBrewは1,200万DLを突破した美容のコミュニティサービス「LIPS」を運営する会社です。このインターンシップでは実際のプロダクト開発チームにジョインいただき、LIPSの開発に携わっていただきます！ご経験、スキル、ご希望に応じて幅広い業務をお任せします。

◆ 応募資格
-週2日、10時間/週 以上就業できる方

以下4つ以上該当する方
-ビジネスレベルの日本語運用能力
-本格的な Web サービスの開発・運用経験
-機械学習やアルゴリズムに関する専門的な知識と経験
-大規模データ処理やパフォーマンスエンジニアリングに関する専門的な知識と経験
-技術的課題の調査〜解決までを一貫して担当できること
-事業領域・サービスへの興味と、ユーザー体験へのこだわり

◆ 得られる経験
-1,200万DL 越え規模の toC サービスにおける開発経験
-フロント〜バックエンド、モバイルまで幅広いプログラミングスキル(ご希望に応じてお任せします)
-少数精鋭チームでのチーム開発経験
-課題発見から設計、開発、分析までの経験","(相談可能), オンライン, フルリモート, リモート, リモート可, リモート＋対面出社, 対面出社, 対面出社可, 東京","・時給：3,000円〜(実績・スキルに応じて決定)
・実施期間：通年受け入れ、2ヶ月ごと更新
","AI, Android, Python, Ruby, Ruby on Rails, Webバックエンド, Webフロントエンド, iOS, アルゴリズム, インフラ, ソフトウェア開発, モバイル(ネイティブ), 機械学習, 課題解決","• 書類選考(履歴書・Git Hubなどをご用意ください)
→面接(オンライン)1〜2回
→コーディングテスト
→内定"
募集中,株式会社AppBrew,"【AppBrew】(時給3,000円〜)短期サマーインターン(5Days)ソフトウェアエンジニア",2024/04/26,2024/08/31,インターン,https://herp.careers/v1/appbrew/QuNCM4wi_Zmf,"25卒, 26卒, 27卒, 全学年",2024年6月29日 11:07,2024年6月29日 11:07,"◆概要
AppBrewは1,200万DLを突破した美容のコミュニティサービス「LIPS」を運営する会社です。このインターンシップでは実際のプロダクト開発チームにジョインいただき、LIPSの開発に携わっていただきます！ご経験、スキル、ご希望に応じて幅広い業務をお任せします。

◆ 応募資格
以下4つ以上該当する方
-ビジネスレベルの日本語運用能力
-本格的な Web サービスの開発・運用経験
-機械学習やアルゴリズムに関する専門的な知識と経験
-大規模データ処理やパフォーマンスエンジニアリングに関する専門的な知識と経験
-技術的課題の調査〜解決までを一貫して担当できること
-事業領域・サービスへの興味と、ユーザー体験へのこだわり

◆ 得られる経験
-1,200万DL 越え規模の toC サービスにおける開発経験
-フロント〜バックエンド、モバイルまで幅広いプログラミングスキル(ご希望に応じてお任せします)
-少数精鋭チームでのチーム開発経験
-課題発見から設計、開発、分析までの経験","(相談可能), オンライン, フルリモート, リモート, リモート可, リモート＋対面出社, 対面出社可, 東京","・時給：3,000円〜(実績・スキルに応じて決定)
・実施期間： 6~10月の間で5日間(ご希望踏まえて決定します)","AI, Android, Python, Ruby, Ruby on Rails, Webバックエンド, Webフロントエンド, iOS, アルゴリズム, インフラ, サーバーサイド, ソフトウェア開発, モバイル(ネイティブ), 機械学習, 課題解決","• 書類選考(履歴書・Git Hubなどをご用意ください)
→面接(オンライン)1〜2回
→コーディングテスト
→内定"
募集中,株式会社トラストハブ,3週間で40万円！スタートアップでtoC向けウェブ開発,2024/04/15,2024/07/16,就業型インターン,https://trusthub.notion.site/2024-3-40-toC-da52dd34e3024fe1a0cd96246a7197bb,,2024年6月29日 11:07,2024年6月29日 11:07,"本物のサービス開発に取り組める！
本サマーインターンでは、トラストハブの実際のサービスに対する開発（プログラミング）に取り組んでいただきます。
実際に取り組む開発内容や対象サービスは、インターン開始時に相談して決めることができます。
フロントエンド、バンクエンド、インフラ、ネイティブアプリなど、インターン生の希望に合わせて開発領域を選定します。
インターン期間中、トラストハブ社員のエンジニアがメンターとしてインターン生をサポートします。

業界最高レベルの3週間で40万円！
本サマーインターンでは、3週間で40万円の給与支給もあります。
遠方の方の場合、宿泊費を弊社が負担します。

こんな学生に来てほしい！
トラストハブはスタートアップであり、常軌を逸した成長を続けています。
トレーディングカード（トレカ）を扱う toC 向けの弊社ウェブサービスは、会員40万人以上を誇り、熱狂的なユーザーに使われ続けています。また、直近1年で6つの新規事業が立ち上がりました。トラストハブは、ユーザーにとって価値があるサービスを提供し、チーム全体で協力することで成果を最大化しています。

以下のいずれかの内容に興味があれば、ぜひ応募してみてください。
• toC向けのウェブサービスを開発したい
• ユーザー視点のサービス開発をしたい
• チームでの開発を経験したい
• サービスを成長させたい
• 課題に対し論理的にアプローチし自ら解決したい

■ 応募条件：
    • 大学生、大学院生、高専生のうち2026年9月までに卒業見込みの方
    • 基本的な開発経験/プログラミング経験がある方（経験年数は問いません）","対面出社, 東京","■ 業務期間：2024年8月1日(木)から2024年9月30日(月)のうち3週間（合計15日間）
■ 手当・待遇：給与支給 3週間で 400,000円（遠方の方は宿泊費会社負担）","Android, GraphQL, NestJS, Next.js, ReactNative, Terraform, TypeScript, Webバックエンド, Webフロントエンド, Web全般, iOS, インフラ, データベース","1. エントリーおよび選考課題提出
2024年7月16日(火) 23:59(JST) まで。
2. 面接
5月中旬から7月下旬まで随時。
選考課題の合格者を対象に、弊社エンジニアと面接を実施します。
3. 最終合否通知
7月上旬から下旬まで随時。"
募集中,株式会社トラストハブ,3週間で40万円！スタートアップで膨大なデータを用いた開発・データ分析,2024/04/15,2024/07/16,就業型インターン,https://trusthub.notion.site/2024-3-40-24949c1a1df44215ad49fdd5891d70f6,,2024年6月29日 11:07,2024年6月29日 11:07,"膨大なデータを用いた開発・データ分析ができる！
トレーディングカード（トレカ）を扱う toC 向けの弊社ウェブサービスは会員40万人以上を誇ります。本サマーインターンではそういった実際のサービスで収集したユーザーの行動ログなど、トラストハブに存在する膨大なデータを用いた開発・データ分析に取り組んでいただきます。
実際に取り組む開発内容や対象サービスは、インターン開始時に相談して決めることができます。膨大なデータを用いたデータ分析や、検索・レコメンドを含む機械学習プロダクトの開発など、インターン生の希望に合わせて開発領域を選定します。
インターンの期間中、トラストハブ社員のエンジニアがメンターとしてインターン生をサポートいたします。

業界最高レベルの3週間で40万円！
本サマーインターンでは、3週間で40万円の給与支給もあります。
遠方の方の場合、宿泊費を弊社が負担します。

こんな学生に来てほしい！
トラストハブはスタートアップであり、常軌を逸した成長を続けています。そんなトラストハブを将来牽引していけるような学生を募集します。以下のいずれかの内容に興味があれば、ぜひ応募してみてください。
• 統計・機械学習を応用したサービスの改善および開発をしたい
• ユーザー視点のサービス開発をしたい
• サービスを成長させたい
• 課題に対し論理的にアプローチし自ら解決したい

■ 応募条件：
• 大学生、大学院生、高専生のうち2026年9月までに卒業見込みの方
• 日本での就労資格を持つ方

■ 必要な経験 / スキル：
• 統計・機械学習、レコメンドといった領域への興味
• 何らかのプログラミング経験（Python など）
• Linux の経験、基本的な Linux コマンド / シェル操作の理解

■ あると望ましい経験 / スキル：
• 統計・機械学習の数理的な基礎知識
• SQL / Pandas などを用いたデータ加工処理の経験
• PyTorch / TensorFlow を用いた機械学習の実装経験","対面出社, 東京","■ 業務期間：2024年8月1日(木)から2024年9月30日(月)のうち3週間（合計15日間）
■ 手当・待遇：給与支給 3週間で 400,000円（遠方の方は宿泊費会社負担）","AI, Python, SQL, データエンジニア, データエンジニアリング, データサイエンス, データサイエンティスト, データ分析, 機械学習, 深層学習, 統計学","1. エントリーおよび選考課題提出
2024年7月16日(火) 23:59(JST) まで。
2. 面接
5月中旬から7月下旬まで随時。
選考課題の合格者を対象に、弊社エンジニアと面接を実施します。
3. 最終合否通知
7月上旬から下旬まで随時。"
募集中,Suzuca Technologies株式会社,ソフトウェアエンジニア 長期インターンシップ,2024/04/20,,就業型インターン,https://suzuca.ai/recruit,,2024年6月29日 11:07,2024年6月29日 11:07,"http://SUZUCA.AI は Preferred Networks、ソニー出身の代表が2024年に立ち上げた会社です。AI・自動運転の研究開発の支援や自社製品の開発を行っており、Python や C++、TypeScript を使用したソフトウェア製品の開発に情熱を持って取り組むメンバーを募集しています。

将来ソフトウェアエンジニアとして活躍することを目指している方、コンピュータが好きな方、LLM の可能性に心を躍らせている方、そして自ら積極的に学び、成長していきたい方をお待ちしています。

話を聞くだけでも構いませんので是非お気軽にご連絡ください。","(相談可能), フルリモート, リモート＋対面出社, 原則リモート","時給1,500 - 3,000円（面接後にスキル・経験に応じて決定。昇給あり）","AI, C++, Python, TypeScript, 機械学習, 生成AI, 自動運転","1. お問い合わせ
2. カジュアル面談
3. 面接
4.オファー"
終了,弁護士ドットコム株式会社,【26新卒】エンジニア職新卒採用_5days Summer Internship,2024/04/16,2024/05/13,,https://hrmos.co/pages/bengo4/jobs/0089206,,2024年6月29日 11:07,2024年6月29日 11:07,"26新卒採用に直結するインターンを実施いたします。
インターン期間の実績により合格となった場合、特別選考へご案内をします。
※有償就業体験型・選考直結インターンです。

社会貢献性の高いSaaS製品であるクラウドサインが、どのようなシステム構成で動くのか、
どのような改善がなされていくのか等、実務に即した就業体験を経験する5日間！！！

オフラインでの開催となり、直接エンジニアからインターン期間に多数のコードレビューやフィードバックを実施し、「技術」に関することだけではなく「働く」をより身近に感じられるような就業体験環境をご用意しています。","原則対面出社, 東京","◾︎実施期間
・2024/8/5(月)〜2024/8/9(金)
・2024/9/2(月)〜2024/9/6(金)
※オフラインで開催いたします
※選考を通過された方に選択をしていただきます

◾︎待遇
・報酬：80,000円(16,000円×5日)
・交通費：支給なし
・遠方の方はホテルを手配いたします(弊社負担)","GitLab, Go, React, Webバックエンド, Webフロントエンド, Web全般","説明会参加(オンライン)
・5月16日(木)　17:30〜19:00
・5月17日(金)　17:30〜19:00
・5月20日(月)　17:30〜19:00
↓
エントリーシート提出
↓
個別面接(オンライン)
↓
インターン参加(弊社東京オフィス)"
募集中,polyfit株式会社,Software Engineer（長期）,2024/04/16,,インターン,https://herp.careers/v1/polyfit/_xTIMbaWptHx,,2024年6月29日 11:07,2024年6月29日 11:07,"シード期スタートアップ企業で、長期インターンシップを採用します。
元プレイドなどメガスタートアップ出身のメンバーが多く、優秀なスタッフと共に仕事ができます。

【応募条件】
・スタートアップで一緒にプロダクトを成長させたいという熱い思いがある方
・対象学年	不問

【歓迎するスキル、経験】
- React, TypeScript を用いた Web アプリケーション開発経験
・スタートアップ、ベンチャー企業でのインターン経験
・他社のインターンに参加した経験が有るが、もっと現場に近い環境で成長したい
- Node.js を用いた Web アプリケーション開発経験

【得られるスキル、経験】
・スタートアップ企業にてユーザーのことを考えながら、要件定義からプロダクト開発までの一連の開発フロー
・フロントエンドからバックエンド、インフラを網羅したプログラミングスキル

【卒業後のメンバー内定実績】
- サイバーエージェント、Yahoo、マネーフォワード",原則対面出社,"1,300 ~ 4,000円/ hourly","AWS, GitHub, Node.js, React, TypeScript, Webバックエンド, Webフロントエンド, styled-component, インフラ, スクラム","選考フロー
- 書類面談
- 1次面談
- コーディングテスト
- 最終面談（オファー面談）"
募集中,株式会社RightTouch,就業型長期インターン（フルスタック開発）,2024/04/16,2024/09/30,インターン,https://forms.gle/iBkvvJBwgDKnyHok8,,2024年6月29日 11:07,2024年6月29日 11:07,"RightTouchインターン生を募集いたします！

RightTouchのインターンシップ最大の特徴は、開発責任者またはテックリードと同じチームでプロダクトの開発ができることです。 

また、基本フルスタックで開発してもらうので、技術的に幅広く成長できる環境です。
一緒に働くエンジニアチームの様子をまとめた下記の記事も、ぜひ参考にしてください！
RightTouchエンジニアチームを知る10問10答：https://blog.righttouch.co.jp/10questions-engineer

[応募条件]
・エンジニアとして成長したい方、技術力を高めたい方、
裁量持ってプロダクト開発をしたい方
・対象学年	不問

[歓迎するスキル、経験]

- TypeScript・JavaScript を用いた Web アプリケーション開発経験
・ReactのクライアントサイドJSフレームワークを使った開発に興味がある
・スタートアップ、ベンチャー企業でのインターン経験
・他社のインターンに参加した経験が有るが、もっと現場に近い環境で成長したい

[得られるスキル、経験]
・急成長スタートアップ企業における、プロダクト開発現場の一連の開発フロー
・フロント〜バックエンドを網羅したプログラミングスキル

実際に働くエンジニアと同じチームで業務を遂行するため、スタートアップ企業の雰囲気を肌で感じることができます。また、2023年8月に移転したオフィスは、RightTouch自体を動物園に例え、各会議室に動物の名前が割り振られており、「今日はゾウの部屋でミーティングしよう！」「この後サバンナでswitchしよう！」なんて楽しい会話が日々飛び交っています。 「社員と同じ環境」で「プロダクト開発のプロセス」に参加し、RightTouchの組織、業務、文化、全てに触れながら、エンジニアとして圧倒的に成長できる環境です。

サービスやビジョンに共感していただける方、 インターンに取り組むことで力をつけたい方、スタートアップ企業でサービスにコミットしたい方、ぜひエントリーをお待ちしています！",リモート可,"【実施時期】
・通年

【時給】
•  2,500円

【勤務時間】
・勤務期間	3ヶ月以上
・週の出勤	週3日、平日週20〜25時間程度の勤務が可能な方
・土日の出勤	なし

【勤務場所】
・東京都港区三田3-2-8 THE PORTAL MITA 5F
・リモート勤務	可（応相談）
","GCP, GitHub, JavaScript, Kubernetes, Node.js, React, Terraform, TypeScript, Webバックエンド, Webフロントエンド, Webブラウザ, Web全般, インフラ, 生成AI","1. 書類選考
2. 面談(1-2回)"
募集中,アクロクエストテクノロジー株式会社,【26卒/早期選考直結】IT業界研究はこれでOK！リモートオープンカンパニー,2024/04/16,2024/12/28,インターン,https://recruit.acroquest.co.jp/remote-open-company/,,2024年6月29日 11:07,2024年6月29日 11:07,"<他の就活生と差をつけられる！参加のメリット>
　1. 最新のIT業界の見方が分かる
　2. 日本企業の99.7％を占める、中小企業についての知見を広げることができる
　3. あなたに合う会社・キャリアの傾向が明確になる
　　※内容は変更になることがあります。

★★オープンカンパニー参加特典★★
イベント後も、現場エンジニアがついて、IT業界での就活をサポート
オンライン就活相談は、毎年好評！IT企業の見方、あなたの強み・アピールポイントがわかります。

■応募資格
2026年卒業予定の大学生／大学院生
※外国籍の方は日本語能力検定一級取得済みの方に限らせていただきます。",リモート,"■日程
5/25(土)、6/8(土)、6/22(土)
時間はいずれも15:00～17:00

【文系学生向け】
6/5(水) 18:30～20:30

▼開催日程は👇でも更新していきます
https://recruit.acroquest.co.jp/remote-open-company/",".NET, AI, AWS, Flutter, GitHub, Java, Kubernetes, Python, Vue.js, Webバックエンド, Webフロントエンド, Web全般, アルゴリズム, ソフトウェア開発, データサイエンス, データベース, データ分析, 機械学習, 深層学習, 生成AI, 自然言語処理","1.ES免除でエントリー
2.開催日当日までに事前アンケート回答
3.当日参加"
募集中,株式会社エス・エム・エス,エンジニア新卒 - インターン応募【26卒/早期先行直結型】,2024/04/16,2024/06/30,インターン,https://open.talentio.com/r/1/c/smsc/pages/91222,,2024年6月29日 11:07,2024年6月29日 11:07,"面談・面接を通じてご志向を伺い、ご担当内容はアレンジいたします。

・Vertical SaaS「カイポケ」などのプラットフォーム開発
・新規サービスの開発
・技術基盤の整備や改善
各サービスごとにフェーズや扱っている技術が異なります

■応募資格
・2026年以降卒業予定の学生（高専生・大学生・大学院生）の方
・長期インターン・アルバイト・研究・独学でのプログラミング経験のある方","(相談可能), リモート＋対面出社, 原則リモート","# 待遇
- 時給: 2,500円
- 期間: 夏期休暇期間中を想定(実施時期も含めて相談可)
- 内容: 希望に応じて実際のプロダクトチームでのフルーオーダーメイドのインターンを設計します

# 募集要項
https://open.talentio.com/r/1/c/smsc/pages/91222","React, Ruby on Rails, Webバックエンド, Webフロントエンド, Web全般, サーバーサイドKotlin, ソフトウェア開発",
募集中,株式会社マクロミル,テクノロジー部門 長期インターン,2024/04/01,,インターン,https://www.macromill.com/recruit/tech/intern/,,2024年6月29日 11:07,2024年6月29日 11:07,"マクロミルのシステムは大小合わせて100近く存在し、ビジネスを支えています。現在その全システムを刷新するプロジェクトが始動。そのプロジェクトの一端を体験できるプログラムを用意しました。実際の現場の空気を感じ、リアルな就業体験ができます。

＃コース概要
Software Engineerコース
マーケティングリサーチやデータを用いて、年間4,000社を超える企業のマーケティング課題に向き合うマクロミル。マーケティングリサーチという大量のデータを収集・利用するプロダクトの開発に参画してもらいます。チームでソフトウェア開発を行い、製品としてリリースする体験ができます。さまざまな国の方々と一緒に働くことができます。

# 募集条件
• プログラミングの最低限の知識React、Vue.js、TypeScript、PHP、Java、C、C++、Golang、Ruby（フロント、バック、モバイル、ML系は問わず）
• 使用言語：日本語または英語
• 2025年4月以降に入社可能な学生

＃コース概要
Data Scientistコース
既存のマーケティングリサーチ業務で扱う購買データや調査票データを用いたデータ分析ではなく、新たな価値創造に直結する技術開発に関するテーマに取り組んでもらいます。databricksをフル活用した最先端のリモート環境で業務経験できます。社内で展開しているアナリスト育成プログラムや、データサイエンティスト育成プログラムにゲスト参加することも可能です。

＃募集条件
• 専攻: 理学系(数学、物理、生物など)
• 2025年4月以降に入社可能な学生

＃実施形式
初回は品川本社での実施、その後はオンライン実施も可能
※遠方在住の方は全オンラインも相談可能
※初回の宿泊交通費は支給","リモート可, 対面出社可","＃開催期間
2024年4月～6月の間での 2～8週間
※上記期間のうち土日祝を除く平日10:00-19:00で、週2日、4Hの勤務を想定
※勤務期間や勤務日数などは個別調整可能

＃待遇
時給2500円
※交通費別途支給

","Web全般, データサイエンス","1.  エントリーシート
2.  面接（1～2回）
3.  インターン開始"
募集中,博報堂／博報堂ＤＹメディアパートナーズ,データサイエンス篇＜マーケティングサイエンスコース＞,,,インターン,https://hakusuku.jp/recruit/information/internship/datascience-marketing/,,2024年6月29日 11:07,2024年6月29日 11:07,"【実施内容】
博報堂ＤＹグループにおけるデータサイエンティスト疑似体験インターンシップ
当社が保有している大規模な生活者に関するデータから、ビジネス課題・マーケティング課題を分析し、課題解決策をプラニングする問題に取り組んでいただきます。

【参加条件】
（1）国内外の大学、または大学院に在籍しており、就業経験のないこと。
（2）学問やインターンシップ・課外活動などにおいて、Excel・R・Python・Matlab・SQLなどソフトウェアやプログラミング言語によるデータ集計や統計解析を応用し、研究や課題解決を経験したことがあること。
※目安はプログラミング言語もしくは分析ツールどれか1つでも、統計解析を行える程度に習熟していること。",フルリモート,,"Python, R, SQL, データサイエンス, データ分析, 統計学, 課題解決",
募集中,博報堂／博報堂ＤＹメディアパートナーズ,データサイエンス篇 ＜エンジニアリングコース ＞,,,インターン,https://hakusuku.jp/recruit/information/internship/datascience-engineering/,,2024年6月29日 11:07,2024年6月29日 11:07,"【実施内容】
博報堂ＤＹグループにおけるデータサイエンティスト疑似体験 コース別体験型インターンシップ
当社が保有している生活者に関する大規模データを用いて、機械学習や統計解析を駆使して生活者の世の中のトレンド・意識・行動を予測し、新しいサービス/ソリューションアイデアを企画・検討する問題に取り組んでいただきます。

【参加条件】
（1）現在、国内外の大学、または大学院に在籍しており、就業経験のないこと。
（2）Python を使ったデータ分析の経験があること （本インターンでは Jupyter Notebook / JupyterLab 上で分析に取り組んでもらいます）。
（3）VPN接続のためのソフトウェアがインストール可能であるPCを保有していること。（推奨はOpenVPNまたはTunnelBlick）","リモート＋対面出社, 東京",,"AI, Python, データサイエンス, データ分析, 機械学習",
募集中,株式会社 GROWTH VERSE,長期インターンシップ,2024/03/31,2024/08/31,インターン,https://growth-verse.ai/careers/,,2024年6月29日 11:07,2024年6月29日 11:07,"# 選考フロー
・カジュアル面談
・一次面談
・最終面談",,通年,"Web全般, 深層学習",
募集中,株式会社パンフォーユー,開発Gの長期インターン募集！パン屋のサービスを一緒に開発しましょう！,2024/03/27,2024/08/31,インターン,https://www.wantedly.com/projects/1655327,,2024年6月29日 11:07,2024年6月29日 11:07,"＜選考フロー＞
書類選考 → エンジニア面談 → 合否連絡","リモート＋対面出社, 出社可能性あり, 東京","#条件
- 時給: 1,150円 〜 （能力に応じて）
- 勤務: シフト制

- 出社時にパン食べれます","GCP, Go, React, TypeScript, Web全般",
募集中,株式会社Techouse,【実務未経験OK / Web開発長期インターン】研修制度・教育支援制度充実！自社プロダクトのWeb開発業務を「設計から実装まで」お任せします,2024/01/01,2024/06/30,インターン,https://acaric.jp/company-search/detail/148658/jobDetail/1483018,,2024年6月29日 11:07,2024年6月29日 11:07,"【インターン業務内容】
▼研修
約1か月間の研修を実施していただいた後、実務開発開始となります。
プロダクト開発に携わっていただくための研修プログラムをご用意しておりますので、開発未経験の方でもご安心ください。

▼業務内容例
・ソフトウェアエンジニアとして自社プロダクトの開発業務全般
・サービスの要件定義/設計/開発/テスト/運用
・顧客やメンバーへのヒアリングを通した問題発見
・メンバーのマネジメント/メンタリング
・技術調査/技術選定

▼業務スケジュール例
・1か月目　　：研修（Railsを用いたWeb開発方法の学習）
・2か月目　　：事業内容やコードを理解しつつテストの実装
・3か月目　　：簡単なバグ修正や新機能の開発・実装
・4か月目以降：機能開発のPMとして仕様の作成から実装まで実行

【応募資格】
・プログラミング経験 ※言語・スキルレベルは問いません。授業で学んだ、独学で勉強したなどでもOK！
・大学/大学院を2026年に卒業予定","リモート可, 東京","▼給与
・研修手当：30000円
・時給：1150円～

▼交通費
・交通費支給（上限：月30000円）
※地方在住の方は交通費上限の範囲内で東京本社出勤も可能。

▼福利厚生 / 学習支援制度
・書籍購入自由
　┗業務内容に関わらず、少しでも技術に関連するものならOK！購入制限もございません。
・資格取得費用の会社負担
　┗在籍メンバーは基本情報、応用情報、LinuC、データベーススペシャリストなどを経費で取得しました。
・エンジニア向け社内勉強会
　┗プログラミング・データベース研修やネットワーク実機演習など、エンジニア向け勉強会を週次で開催しております。
・インターン専用シェアハウス
　┗東京本社徒歩15分！無料で自由に宿泊できるシェアハウスを用意しております。長期滞在もOK！
・月100USDまで個人学習用途でAWSの自由利用可","AWS, React, Ruby, Ruby on Rails, TypeScript, Webバックエンド, Webフロントエンド, Web全般, アルゴリズム, クラウドサービス, スクラム, データベース",
募集中,株式会社Progate,【株式会社Progate】25卒_選考直結の選抜型長期インターン募集！ 〜実務を体験してみよう〜,2024/03/19,,インターン,https://app.path.progate.com/job-postings/nC5xwnb3kHkDYwCEBXeyn,,2024年6月29日 11:07,2024年6月29日 11:07,"■ 選考フロー
1. エントリー
2. エンジニアによる技術面接（オンラインコーディング）
3. 合否連絡 (面接後 1 週間以内)
■インターン参加後のフロー
1. インターン（8週間）
2. 役員面接
3. 内定合否連絡",原則リモート,時給2500円,"API, CI/CD, Go, Next.js, TypeScript, Webバックエンド, Webフロントエンド, Web全般, インフラ",
終了,三井物産セキュアディレクション株式会社,MBSD仕事体験【1day】監視エンジニア/アナリストコース,2024/03/15,2024/05/31,インターン,https://www.mbsd.jp/news/20240315/work-experience/,,2024年6月29日 11:07,2024年6月29日 11:07,"監視エンジニア/アナリストのお仕事ってどんな仕事？そんな疑問にお答えします！

当日のプログラム：
・MBSD-SOC 業務内容の説明
・情報セキュリティにおける脆弱性の説明
・アラート解析の手順/ポイントの解説
・MBSD-SOCにて検知実績のあるアラートの模擬解析

応募要件（下記いずれかの要件に当てはまる方）
a) ネットワーク(主にTCP/IP)に関するクライアントとサーバの役割を理解している
b) パケットの解析に必要な基礎知識を要している
c) HTTPについての概要をおおよそ理解している
d) ウェブサーバやブラウザの機能について理解している
e) プログラミング経験がある
f) セキュリティ業界への就職を志望しCTF参加や自身での検証/調査活動を行っている
g) 今後積極的にセキュリティ関連の知識を深めたいと考えている
","対面出社, 東京","2024年8月5日（1日間）
交通費・必要な場合の宿泊費 当社負担",セキュリティ,"登録
https://hrmos.co/pages/mbsd-recruit/jobs/I0000002
↓
エントリーシート提出（5/31締切）
↓
選考（6月上旬）"
終了,三井物産セキュアディレクション株式会社,MBSD仕事体験【5days】診断エンジニアコース,2024/03/15,2024/05/31,インターン,https://www.mbsd.jp/news/20240315/work-experience/,,2024年6月29日 11:07,2024年6月29日 11:07,"MBSDの診断エンジニアになったら、こんな教育を受けられる！入社者が受講する教育の一部を体験できる特別なプログラム

当日のプログラム：
・脆弱性診断および業務内容の説明
・HTTP基礎
・Webアプリケーション関連の代表的な脆弱性解説
・診断ツールの説明・設定
・診断実習
・報告書作成
・報告会ロールプレイ

応募要件（下記いずれかの要件に当てはまる方）
a) ネットワーク(主にTCP/IP)に関するクライアントとサーバの役割を理解している
b) パケットの解析に必要な基礎知識を要している
c) HTTPについての概要をおおよそ理解している
d) ウェブサーバやブラウザの機能について理解している
e) プログラミング経験がある
f) セキュリティ業界への就職を志望しCTF参加や自身での検証/調査活動を行っている
g) 今後積極的にセキュリティ関連の知識を深めたいと考えている
","対面出社, 東京","2024年7月29日～2024年8月2日（5日間）
交通費・宿泊費 当社負担",セキュリティ,"登録
https://hrmos.co/pages/mbsd-recruit/jobs/I0000002
↓
エントリーシート提出（5/31締切）
↓
選考（6月上旬）"
終了,三井物産セキュアディレクション株式会社,MBSD仕事体験【1day】コンサルタントコース,2024/03/15,2024/05/31,インターン,https://www.mbsd.jp/news/20240315/work-experience/,,2024年6月29日 11:07,2024年6月29日 11:07,"セキュリティ業界のコンサルタントってどんな仕事？そんな疑問にお答えします！

当日のプログラム：
・三井物産セキュアディレクション（MBSD）の会社説明 
・MBSDのセキュリティコンサル業務の概要説明
・コンサルティングを行う上で大切にしていること

応募要件（下記いずれかの要件に当てはまる方）
a) セキュリティコンサルティングに興味のあること
b) PC（パソコン）の基本操作ができること
c) Microsoft Officeの基本操作ができること","対面出社, 東京","2024年8月6日（13:30-17:00）
交通費・必要な場合の宿泊費 当社負担","コンサルタント, セキュリティ","登録
https://hrmos.co/pages/mbsd-recruit/jobs/I0000002
↓
エントリーシート提出（5/31締切）
↓
選考（6月上旬）"
